scenario_id,fill_assumption,min_fill_quality_score,summary_level,market,year,turnover_bucket,day0_volume_shock_bucket,range_pct_bucket,fill_quality_score_bucket,candidate_trades,fillable_trades,skipped_trades,fillable_ratio,raw_win_rate,win_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,profit_factor,total_net_pnl,max_drawdown,average_turnover_twd,average_volume_ratio_20d,average_range_pct,average_fill_quality_score
optimistic_all_scores,optimistic,,by_range_pct_bucket,,,,,0,,40,40,0,1.0,0.85,0.8,0.03987586511333558,0.05261816230817894,0.03492238911525868,0.047615004093339346,4.5824117833254645,120964.15658999994,-15439.3591,274769324.35,8.285941978889223,0.0,20.0
optimistic_all_scores,optimistic,,by_range_pct_bucket,,,,,0_1pct,,19,19,0,1.0,0.6842105263157895,0.6842105263157895,0.029516406951852946,0.0115990057995029,0.024603322481147674,0.006755781275890637,2.9652126219211246,37034.51038999999,-10468.364299999987,812761888.1578947,9.629217458693438,0.006316899010932423,56.578947368421055
optimistic_all_scores,optimistic,,by_range_pct_bucket,,,,,1_2pct,,47,47,0,1.0,0.46808510638297873,0.40425531914893614,-0.05227383203491567,0.0,-0.05687059179966971,-0.004798,0.1436626265401042,-229327.66012,-238274.104,521583460.17021275,6.714820758779425,0.015792178350028867,77.87234042553192
optimistic_all_scores,optimistic,,by_range_pct_bucket,,,,,2_3pct,,74,74,0,1.0,0.5675675675675675,0.5540540540540541,-0.035493468090193464,0.01132321217794782,-0.040154965037818284,0.006481062973666001,0.33451783532466856,-253240.10280000002,-302183.18836,546144923.918919,6.4161080070653735,0.025238282187196745,78.37837837837837
optimistic_all_scores,optimistic,,by_range_pct_bucket,,,,,3_5pct,,317,317,0,1.0,0.6025236593059937,0.5646687697160884,-0.006885076176538586,0.01008827238335435,-0.011657500959248744,0.005250938209331652,0.6090313434886572,-330407.78520000004,-484863.61315000005,967499808.9747634,8.41288319598128,0.0413737223693387,85.15772870662461
optimistic_all_scores,optimistic,,by_range_pct_bucket,,,,,>=5pct,,3857,3857,0,1.0,0.7511018926626912,0.7005444646098004,0.01984311770978886,0.018475750577367205,0.014967390970490477,0.01360571362586605,3.0552875039424245,4701429.56553,-366774.83141,1008046922.017371,6.035018437326997,0.09319036543392767,89.1470054446461
optimistic_all_scores,optimistic,,by_fill_quality_score_bucket,,,,,,40_50,25,25,0,1.0,0.8,0.8,0.03055502251318923,0.019076305220883535,0.0256378884804103,0.014203926706827309,3.271436127040673,56999.90300999999,-14395.9462,277195783.08,13.583493352343883,0.02957580007609419,47.0
optimistic_all_scores,optimistic,,by_fill_quality_score_bucket,,,,,,50_60,216,216,0,1.0,0.7129629629629629,0.6712962962962963,0.015511610273015727,0.01727158051661363,0.010652207676449345,0.01240623862417935,2.0022101554716354,197334.12652,-80669.07085,152407853.8472222,18.405617107742277,0.08129347192141939,55.06944444444444
optimistic_all_scores,optimistic,,by_fill_quality_score_bucket,,,,,,60_70,210,210,0,1.0,0.6142857142857143,0.5523809523809524,0.006828959930337181,0.008905390139328395,0.0020042631537410473,0.004072668023175154,1.152107026802852,46944.56325999998,-92886.50895000002,273093589.11904764,14.42058665347124,0.0729206707195701,66.0
optimistic_all_scores,optimistic,,by_fill_quality_score_bucket,,,,,,70_80,902,902,0,1.0,0.738359201773836,0.6840354767184036,0.01773283478467184,0.018596519230541862,0.012865105575524716,0.013726011402061977,2.0733082125723183,927709.50505,-284436.60137,167232950.29600886,4.837151564507139,0.08499347045325786,79.95565410199556
optimistic_all_scores,optimistic,,by_fill_quality_score_bucket,,,,,,<40,41,41,0,1.0,0.8048780487804879,0.7560975609756098,0.03656457936236955,0.04059040590405904,0.031624014067435674,0.03563414391143911,4.120673984703999,111745.50019999995,-15439.3591,193880413.0,10.725525823601123,0.0007292524240911863,19.146341463414632
optimistic_all_scores,optimistic,,by_fill_quality_score_bucket,,,,,,>=80,2960,2960,0,1.0,0.7422297297297298,0.6949324324324324,0.01634532626830848,0.0175182855096926,0.011483156586206739,0.012651981714490307,2.126091196041437,2705719.08635,-540020.5299,1361521604.962838,5.102145394827544,0.08951839875979259,95.38344594594595
optimistic_score_ge_40,optimistic,40.0,overall,,,,,,,4354,4314,40,0.9908130454754249,0.7338896615669912,0.6849791376912379,0.01620737069270964,0.017373682154098465,0.011345703991174379,0.012507942167379636,2.0354776488175124,3933600.6167499996,-831145.5410500001,991720053.660408,6.215891879312031,0.08698521886919619,88.41562355122856
