initial_capital_twd,max_gross_exposure_pct,max_positions_per_day,sizing_method,fixed_notional_twd,ranking_method,max_notional_per_symbol_pct,max_notional_per_sector_pct,max_notional_per_industry_pct,max_trades_per_symbol_per_month,not_bear_regime,avoid_weak_sectors,sector_allowlist,random_seed,commission_rate,commission_discount,sell_tax_rate,slippage_bps_per_side,minimum_commission_twd,candidate_signals,trades,trade_fill_rate,total_net_pnl,final_equity,total_return,annualized_return,max_drawdown_twd,max_drawdown_pct,daily_return_mean,daily_return_median,daily_sharpe_like,trade_win_rate,day_win_rate,avg_net_return_per_trade,median_net_return_per_trade,profit_factor,average_positions_per_signal_day,capital_utilization,skipped_signals_due_to_capital,skipped_due_to_board_lot,skipped_due_to_risk_caps,skipped_due_to_max_positions,skipped_due_to_monthly_symbol_cap,portfolio_score
1000000.0,1.0,5,fixed,200000.0,fill_quality_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,487,0.3612759643916914,1362789.4247500016,2362789.4247500016,1.3627894247500016,0.7793577763800568,-28870.348899999866,-0.018330525154117067,0.0035274720847299147,0.0011473041246552462,7.684957082266585,0.7535934291581109,0.7687861271676301,0.019277956694209595,0.017408073248407645,6.495362726493676,2.815028901734104,0.2546422147389238,0,0,576,235,50,1.1905679643554965
1000000.0,1.0,3,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,319,0.23664688427299704,1345814.9248500015,2345814.9248500015,1.3458149248500013,0.7707805903951714,-28875.47629999998,-0.018296212154153408,0.0034953182953748572,0.0011429186144753523,8.069890953086205,0.7586206896551724,0.7687861271676301,0.020264844266676456,0.01854730275229358,6.482622680366838,1.8439306358381502,0.25192764139634094,0,0,713,316,0,1.188791720399705
1000000.0,1.0,3,fixed,300000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,328,0.23378474697077692,1329793.5422000014,2329793.5422000014,1.3297935422000013,0.7626662154228512,-27260.762749999994,-0.018241162407021755,0.0033709882957373163,0.0010371961049036038,7.95056197126255,0.7469512195121951,0.7555555555555555,0.01916449868535516,0.01812736956571797,6.0481553306534535,1.8222222222222222,0.2500589768941325,0,0,731,328,16,1.1744522074795456
1000000.0,1.0,3,fixed,300000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,316,0.2344213649851632,1312718.5367000015,2312718.5367000015,1.3127185367000016,0.7539979239971382,-27260.762749999994,-0.018415568621963332,0.0034365716199036694,0.0011562476397226629,8.080252231739545,0.75,0.7630057803468208,0.01965648119795161,0.018542013015971165,6.354491179124183,1.8265895953757225,0.25073784126379983,0,0,703,313,16,1.17224488777165
1000000.0,1.0,3,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,330,0.23521026372059872,1328053.148399999,2328053.148399999,1.328053148399999,0.7617836489851277,-28875.47629999998,-0.018176011993412036,0.0033681132386611445,0.001031108185489682,7.9198135355798795,0.7515151515151515,0.7611111111111111,0.019299150523701597,0.017211477811867305,5.942043911158579,1.8333333333333333,0.25111359150174084,0,0,742,331,0,1.1722073461394755
1000000.0,1.0,5,fixed,200000.0,fill_quality_score,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,507,0.36136849607982896,1338762.3281000033,2338762.3281000033,1.3387623281000032,0.7672109099865942,-28870.348899999866,-0.018181456369795727,0.003388793935269583,0.0010276706801870539,7.543697182127548,0.7435897435897436,0.7611111111111111,0.018199456495987063,0.0160748963911525,5.85730056861825,2.816666666666667,0.25350702528324237,0,0,594,255,47,1.1714418905160566
1000000.0,1.0,3,fixed,300000.0,composite_score,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,328,0.23378474697077692,1309022.8320500017,2309022.8320500017,1.309022832050002,0.7521189888749724,-27260.762749999994,-0.018246455600198625,0.0033353384191787115,0.0009260189406967712,7.891413993147852,0.7469512195121951,0.7555555555555555,0.018861046755591263,0.01812736956571797,5.813889956784817,1.8222222222222222,0.2504755127877255,0,0,731,327,17,1.1609449354293435
1000000.0,1.0,3,fixed,300000.0,composite_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,316,0.2344213649851632,1293370.7953000017,2293370.7953000017,1.2933707953000018,0.7441503046048423,-27260.762749999994,-0.018420963531855173,0.0034021845601246675,0.0011565370983146472,8.021969273841325,0.75,0.7630057803468208,0.019470664433579084,0.018551676350662592,6.094522103085587,1.8265895953757225,0.2513484278503261,0,0,703,312,17,1.1594804230294973
1000000.0,1.0,5,fixed,300000.0,day0_turnover_twd,0.2,0.7,0.35,5,True,True,,42,0.001425,0.28,0.003,5.0,20.0,1131,288,0.2546419098143236,1187618.7588999998,2187618.7589,1.1876187588999998,0.6898314090367814,-22207.753550000023,-0.014427342340147468,0.00383575105287793,0.0010796462525407557,7.986287944989106,0.7430555555555556,0.7671232876712328,0.02006093448277864,0.017624366169658366,7.139646425068859,1.9726027397260273,0.2742298959541269,0,0,729,90,24,1.1073963260975954
1000000.0,1.0,5,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,True,True,,42,0.001425,0.28,0.003,5.0,20.0,1131,291,0.2572944297082228,1179908.059600003,2179908.059600003,1.179908059600003,0.6858373729469223,-23822.46710000001,-0.015418091585297385,0.0038181709189069497,0.001166102921432155,8.004305400553777,0.7319587628865979,0.773972602739726,0.01975649280139946,0.017408073248407645,6.923747336063981,1.9931506849315068,0.2753680450799445,0,0,727,95,18,1.1040730401527847
